id,created_at,attraction_id,travel_type_id,type_name
631,2024-11-03 17:27:48.534269+00,141734564,71-38560,Rạp Chiếu Phim
632,2024-11-03 17:27:48.727065+00,36232226,71-38636,Đảo/Bán Đảo
633,2024-11-03 17:27:48.921378+00,20905667,71-38386,Công Viên Nước
634,2024-11-03 17:27:49.11215+00,56820575,71-38395,Tượng Đài/Bia Tưởng Niệm
635,2024-11-03 17:27:49.11215+00,56820575,71-38572,Đài Phun Nước
636,2024-11-03 17:27:49.11215+00,56820575,71-38626,Đền Chùa
637,2024-11-03 17:27:49.11215+00,56820575,71-38706,Khu Dân Cư Nổi Bật
638,2024-11-03 17:27:49.317879+00,142292775,71-38513,Địa Điểm Thờ Phụng Khác
639,2024-11-03 17:27:49.503175+00,58370347,71-38713,Bảo Tàng
640,2024-11-03 17:27:49.713713+00,56019136,71-38512,Tour Ngắm Cảnh Khác
641,2024-11-03 17:27:49.89016+00,56044398,71-38391,Nhà Thờ & Thánh Đường
642,2024-11-03 17:27:50.072945+00,23505927,71-38370,Thác Nước
643,2024-11-03 17:27:50.268676+00,82085,71-38713,Bảo Tàng
644,2024-11-03 17:27:50.466971+00,142260885,71-38376,Hang Động
645,2024-11-03 17:27:50.466971+00,142260885,71-38469,Tour Đi Thuyền
646,2024-11-03 17:27:55.974927+00,136954513,71-38713,Bảo Tàng
647,2024-11-03 17:27:56.175338+00,23027449,71-38630,Kiến Trúc Hiện Đại
648,2024-11-03 17:27:56.362105+00,56820336,71-38385,Thủy Cung
649,2024-11-03 17:27:56.362105+00,56820336,71-38713,Bảo Tàng
650,2024-11-03 17:27:56.547573+00,84707,71-38713,Bảo Tàng
651,2024-11-03 17:27:56.725948+00,136948807,71-38365,Đi Bộ Đường Dài
652,2024-11-03 17:27:56.725948+00,136948807,71-38371,Núi
654,2024-11-03 17:27:57.091782+00,142682929,71-38712,Cung Điện
655,2024-11-03 17:27:57.277933+00,10521721,71-38522,Bãi Biển
656,2024-11-03 17:27:57.277933+00,10521721,71-38636,Đảo/Bán Đảo
657,2024-11-03 17:27:57.473975+00,50683100,71-38575,Di Tích Lịch Sử
658,2024-11-03 17:27:57.662877+00,142409084,71-38379,Công Viên Thành Phố
659,2024-11-03 17:27:57.858464+00,80752,71-38636,Đảo/Bán Đảo
662,2024-11-03 17:27:58.230185+00,137165981,71-38371,Núi
663,2024-11-03 17:27:58.230185+00,137165981,71-38626,Đền Chùa
665,2024-11-03 17:27:58.597619+00,50640614,71-38379,Công Viên Thành Phố
666,2024-11-03 17:27:58.780991+00,141619259,71-38560,Rạp Chiếu Phim
667,2024-11-03 17:27:58.955557+00,137196482,71-38706,Khu Dân Cư Nổi Bật
693,2024-11-03 17:28:33.182532+00,18700019,71-38522,Bãi Biển
694,2024-11-03 17:28:33.182532+00,18700019,71-38636,Đảo/Bán Đảo
695,2024-11-03 17:28:33.39345+00,13758231,71-38391,Nhà Thờ & Thánh Đường
696,2024-11-03 17:28:33.39345+00,13758231,71-38626,Đền Chùa
697,2024-11-03 17:28:33.60007+00,10758425,71-38363,Spa
698,2024-11-03 17:28:33.60007+00,10758425,71-38372,Suối Nước Nóng
699,2024-11-03 17:28:33.796559+00,142360211,71-38380,Vườn/Hoa Viên
700,2024-11-03 17:28:33.991306+00,55861396,71-38363,Spa
702,2024-11-03 17:28:34.38408+00,129757349,71-38403,Cáp Treo
703,2024-11-03 17:28:34.583841+00,133828439,71-38371,Núi
704,2024-11-03 17:28:34.583841+00,133828439,71-38379,Công Viên Thành Phố
706,2024-11-03 17:28:35.00446+00,55860843,71-38631,Đài Quan Sát
707,2024-11-03 17:28:35.00446+00,55860843,71-38660,Tham quan ban đêm
708,2024-11-03 17:28:35.206304+00,142505412,71-38379,Công Viên Thành Phố
710,2024-11-03 17:28:35.607199+00,141698250,71-38378,Công Viên Giải Trí
711,2024-11-03 17:28:38.568832+00,142838231,71-38400,Khu Nghỉ Dưỡng
712,2024-11-03 17:28:38.788888+00,61830542,71-38378,Công Viên Giải Trí
713,2024-11-03 17:28:38.788888+00,61830542,71-38556,Trung Tâm Giải Trí
714,2024-11-03 17:28:38.977358+00,142534303,71-38587,Sân Vận Động
715,2024-11-03 17:28:39.176173+00,10521704,71-38713,Bảo Tàng
716,2024-11-03 17:28:39.357549+00,137596994,71-38371,Núi
717,2024-11-03 17:28:39.357549+00,137596994,71-38384,Sở Thú
718,2024-11-03 17:28:39.550387+00,35193394,71-38522,Bãi Biển
719,2024-11-03 17:28:39.733661+00,20905678,71-38583,Di Sản Thế Giới UNESCO - Di Sản Văn Hóa
720,2024-11-03 17:28:39.733661+00,20905678,71-38633,Nghĩa Trang
721,2024-11-03 17:28:39.926846+00,35193304,71-38391,Nhà Thờ & Thánh Đường
722,2024-11-03 17:28:40.105647+00,37827893,71-38552,Chợ
723,2024-11-03 17:28:40.105647+00,37827893,71-38706,Khu Dân Cư Nổi Bật
724,2024-11-03 17:28:40.289338+00,18687692,71-38629,Kiến Trúc Lịch Sử
725,2024-11-03 17:28:40.495832+00,142515082,71-38560,Rạp Chiếu Phim
726,2024-11-03 17:28:40.686174+00,61796492,71-38419,Lâu Đài
727,2024-11-03 17:28:40.686174+00,61796492,71-38554,Nhà Máy/Xưởng Sản Xuất Rượu/Bia
729,2024-11-03 17:28:41.059789+00,61894043,71-38513,Địa Điểm Thờ Phụng Khác
730,2024-11-03 17:28:41.247691+00,55829207,71-38384,Sở Thú
731,2024-11-03 17:28:41.247691+00,55829207,71-38400,Khu Nghỉ Dưỡng
732,2024-11-03 17:28:41.43934+00,136808638,71-38379,Công Viên Thành Phố
733,2024-11-03 17:28:41.619228+00,61883203,71-38363,Spa
734,2024-11-03 17:28:43.969168+00,23027792,71-38636,Đảo/Bán Đảo
735,2024-11-03 17:28:44.17156+00,142588164,71-38400,Khu Nghỉ Dưỡng
736,2024-11-03 17:28:44.36567+00,133828075,71-38360,Sân Golf
737,2024-11-03 17:28:44.550796+00,56071021,71-38379,Công Viên Thành Phố
738,2024-11-03 17:28:44.739962+00,61218648,71-38379,Công Viên Thành Phố
739,2024-11-03 17:28:44.932162+00,18700024,71-38391,Nhà Thờ & Thánh Đường
740,2024-11-03 17:28:45.110903+00,141422389,71-38560,Rạp Chiếu Phim
741,2024-11-03 17:28:45.303948+00,38779899,71-38560,Rạp Chiếu Phim
742,2024-11-03 17:28:45.503729+00,23034616,71-38371,Núi
743,2024-11-03 17:28:45.693888+00,142848719,71-38419,Lâu Đài
744,2024-11-03 17:28:45.693888+00,142848719,71-38712,Địa Điểm Quân Sự
745,2024-11-03 17:28:45.882334+00,133828223,71-38391,Nhà Thờ & Thánh Đường
746,2024-11-03 17:28:45.882334+00,133828223,71-38587,Sân Vận Động
747,2024-11-03 17:28:46.064492+00,61992833,71-38380,Vườn/Hoa Viên
748,2024-11-03 17:28:46.064492+00,61992833,71-38381,Vườn Bách Thảo
749,2024-11-03 17:28:47.654026+00,94196,71-38389,Đạo Quán
750,2024-11-03 17:28:47.654026+00,94196,71-38513,Địa Điểm Thờ Phụng Khác
751,2024-11-03 17:28:47.654026+00,94196,71-38575,Di Tích Lịch Sử
752,2024-11-03 17:28:47.654026+00,94196,71-38661,Điểm Tham Quan
753,2024-11-03 17:28:47.861158+00,142369415,71-38379,Công Viên Thành Phố
754,2024-11-03 17:28:48.068796+00,133828252,71-38513,Địa Điểm Thờ Phụng Khác
755,2024-11-03 17:28:48.068796+00,133828252,71-38626,Đền Chùa
756,2024-11-03 17:28:48.272401+00,28378256,71-38376,Hang Động
757,2024-11-03 17:28:48.477201+00,143185156,71-38522,Bãi Biển
758,2024-11-03 17:28:48.669611+00,58285552,71-38360,Sân Golf
759,2024-11-03 17:28:48.875888+00,20905665,71-38626,Đền Chùa
760,2024-11-03 17:28:49.067039+00,36232051,71-38522,Bãi Biển
761,2024-11-03 17:28:49.264474+00,136942174,71-38513,Địa Điểm Thờ Phụng Khác
762,2024-11-03 17:28:49.264474+00,136942174,71-38575,Di Tích Lịch Sử
763,2024-11-03 17:28:49.264474+00,136942174,71-38633,Nghĩa Trang
764,2024-11-03 17:28:49.461957+00,50610276,71-38384,Sở Thú
765,2024-11-03 17:28:49.665066+00,138552101,71-38469,Tour Đi Thuyền
766,2024-11-03 17:28:49.853925+00,58312450,71-38395,Tượng Đài/Bia Tưởng Niệm
767,2024-11-03 17:28:49.853925+00,58312450,71-38575,Di Tích Lịch Sử
768,2024-11-03 17:28:50.053178+00,98748,71-38375,Rừng
769,2024-11-03 17:28:50.053178+00,98748,71-38383,Công Viên Quốc Gia
770,2024-11-03 17:28:50.244178+00,20905675,71-38381,Vườn Bách Thảo
771,2024-11-03 17:28:50.449308+00,58306558,71-38522,Bãi Biển
772,2024-11-03 17:28:52.717928+00,137125246,71-38400,Khu Nghỉ Dưỡng
773,2024-11-03 17:28:52.904318+00,58314700,71-38626,Đền Chùa
774,2024-11-03 17:28:53.082501+00,136796131,71-38563,Quảng Trường
775,2024-11-03 17:28:53.269094+00,100589,71-38376,Hang Động
776,2024-11-03 17:28:53.269094+00,100589,71-38513,Địa Điểm Thờ Phụng Khác
777,2024-11-03 17:28:53.269094+00,100589,71-38626,Đền Chùa
778,2024-11-03 17:28:53.269094+00,100589,71-38661,Điểm Tham Quan
779,2024-11-03 17:28:53.444274+00,15056927,71-38375,Rừng
780,2024-11-03 17:28:53.444274+00,15056927,71-38383,Công Viên Quốc Gia
781,2024-11-03 17:28:53.63032+00,142941855,71-38560,Rạp Chiếu Phim
782,2024-11-03 17:28:53.824337+00,133828059,71-38412,Đi Bộ Đường Dài/Đạp Xe
783,2024-11-03 17:28:54.012598+00,133828288,71-38386,Công Viên Nước
784,2024-11-03 17:28:54.203837+00,13415972,71-38373,Kỳ Quan Địa Chất/Địa Mạo
785,2024-11-03 17:28:54.203837+00,13415972,71-38376,Hang Động
786,2024-11-03 17:28:54.386675+00,133828420,71-38625,Nông Trại
787,2024-11-03 17:28:54.568928+00,136949179,71-38712,Nhà Cao Tầng
788,2024-11-03 17:28:54.758062+00,142904610,71-38552,Chợ
789,2024-11-03 17:28:54.758062+00,142904610,71-38706,Khu Dân Cư Nổi Bật
790,2024-11-03 17:28:54.935665+00,137016922,71-38371,Núi
791,2024-11-03 17:28:55.114585+00,142877825,71-38552,Chợ
792,2024-11-03 17:28:55.114585+00,142877825,71-38706,Khu Dân Cư Nổi Bật
793,2024-11-03 17:28:55.307771+00,130369440,71-38403,Cáp Treo
794,2024-11-03 17:28:55.489447+00,143783744,71-38713,Bảo Tàng
795,2024-11-03 17:28:55.489447+00,143783744,71-38712,Bảo Tàng Nghệ Thuật
796,2024-11-03 17:28:57.176362+00,141184592,71-38560,Rạp Chiếu Phim
797,2024-11-03 17:28:57.360359+00,33112036,71-38638,Thể Thao Dưới Nước
798,2024-11-03 17:28:57.554375+00,141524323,71-38560,Rạp Chiếu Phim
802,2024-11-03 17:28:58.098161+00,142932434,71-38626,Đền Chùa
804,2024-11-03 17:28:58.462772+00,142843562,71-38375,Rừng
805,2024-11-03 17:28:58.462772+00,142843562,71-38418,Khu Cắm Trại
806,2024-11-03 17:28:58.642318+00,142847421,71-38626,Đền Chùa
808,2024-11-03 17:28:59.011633+00,136943196,71-38379,Công Viên Thành Phố
809,2024-11-03 17:28:59.011633+00,136943196,71-38660,Tham quan ban đêm
810,2024-11-03 17:28:59.186125+00,133828003,71-38360,Sân Golf
811,2024-11-03 17:28:59.367393+00,142370218,71-38391,Nhà Thờ & Thánh Đường
812,2024-11-03 17:29:03.400162+00,15054943,71-38398,Chùa Cổ
814,2024-11-03 17:29:03.794535+00,15054944,71-38379,Công Viên Thành Phố
815,2024-11-03 17:29:03.794535+00,15054944,71-38586,Tượng/Điêu Khắc
816,2024-11-03 17:29:03.992043+00,28553449,71-38702,Lặn Ngoài Trời
817,2024-11-03 17:29:04.184166+00,141214942,71-38560,Rạp Chiếu Phim
818,2024-11-03 17:29:04.37679+00,136954425,71-38575,Di Tích Lịch Sử
819,2024-11-03 17:29:04.55845+00,38534825,71-38513,Địa Điểm Thờ Phụng Khác
820,2024-11-03 17:29:04.55845+00,38534825,71-38575,Di Tích Lịch Sử
822,2024-11-03 17:29:04.94286+00,136868328,71-38379,Công Viên Thành Phố
823,2024-11-03 17:29:05.129067+00,137891731,71-38573,Cầu
824,2024-11-03 17:29:05.31508+00,137097086,71-38379,Công Viên Thành Phố
826,2024-11-03 17:29:05.683261+00,142959393,71-38626,Đền Chùa
827,2024-11-03 17:29:05.872826+00,55982126,71-38378,Công Viên Giải Trí
828,2024-11-03 17:29:10.900416+00,141896642,71-38560,Rạp Chiếu Phim
829,2024-11-03 17:29:11.108743+00,142797822,71-38626,Đền Chùa
830,2024-11-03 17:29:11.322635+00,142323504,71-38491,Sân Bóng Đá
831,2024-11-03 17:29:11.511222+00,58313880,71-38371,Núi
832,2024-11-03 17:29:11.696799+00,141588624,71-38560,Rạp Chiếu Phim
833,2024-11-03 17:29:11.886072+00,58324566,71-38522,Bãi Biển
834,2024-11-03 17:29:12.078101+00,15056956,71-38626,Đền Chùa
837,2024-11-03 17:29:12.611738+00,142794559,71-38706,Khu Dân Cư Nổi Bật
838,2024-11-03 17:29:12.806044+00,20905664,71-38513,Địa Điểm Thờ Phụng Khác
839,2024-11-03 17:29:12.806044+00,20905664,71-38626,Đền Chùa
841,2024-11-03 17:29:13.177411+00,142290870,71-38379,Công Viên Thành Phố
843,2024-11-03 17:29:13.562621+00,23117242,71-38384,Sở Thú
844,2024-11-03 17:29:13.562621+00,23117242,71-38522,Bãi Biển
845,2024-11-03 17:29:13.562621+00,23117242,71-38636,Đảo/Bán Đảo
846,2024-11-03 17:29:13.755081+00,137793443,71-38376,Hang Động
847,2024-11-03 17:29:13.945957+00,61803193,71-38556,Trung Tâm Giải Trí
848,2024-11-03 17:29:13.945957+00,61803193,71-38388,Công Viên Chủ Đề
849,2024-11-03 17:29:18.055933+00,136733097,71-38713,Bảo Tàng
850,2024-11-03 17:29:18.248708+00,38737773,71-38513,Địa Điểm Thờ Phụng Khác
851,2024-11-03 17:29:18.248708+00,38737773,71-38575,Di Tích Lịch Sử
852,2024-11-03 17:29:18.248708+00,38737773,71-38626,Đền Chùa
853,2024-11-03 17:29:18.450158+00,55706178,71-38710,Buổi biểu diễn đặc trưng
854,2024-11-03 17:29:18.639297+00,23032309,71-38370,Thác Nước
855,2024-11-03 17:29:18.83014+00,137342638,71-38712,Cầu Kính
856,2024-11-03 17:29:19.018028+00,142264229,71-38469,Tour Đi Thuyền
857,2024-11-03 17:29:19.018028+00,142264229,71-38638,Thể Thao Dưới Nước
858,2024-11-03 17:29:19.200871+00,137412370,71-38371,Núi
859,2024-11-03 17:29:19.386273+00,136276946,71-38386,Công Viên Nước
860,2024-11-03 17:29:19.567817+00,144938189,71-38712,Lễ Hội Âm Nhạc
861,2024-11-03 17:29:19.766142+00,137332279,71-38522,Bãi Biển
862,2024-11-03 17:29:19.766142+00,137332279,71-38636,Đảo/Bán Đảo
863,2024-11-03 17:29:19.956883+00,142968696,71-38560,Rạp Chiếu Phim
866,2024-11-03 17:29:20.326734+00,56820476,71-38391,Nhà Thờ & Thánh Đường
867,2024-11-03 17:29:20.326734+00,56820476,71-38513,Địa Điểm Thờ Phụng Khác
884,2024-11-03 17:29:38.907968+00,142643193,71-38626,Đền Chùa
885,2024-11-03 17:29:39.113533+00,136798151,71-38400,Khu Nghỉ Dưỡng
886,2024-11-03 17:29:39.30067+00,142284083,71-38560,Rạp Chiếu Phim
888,2024-11-03 17:29:39.688263+00,58296270,71-38636,Đảo/Bán Đảo
890,2024-11-03 17:29:40.049154+00,61821760,71-38713,Bảo Tàng
891,2024-11-03 17:29:40.250403+00,55813428,71-38522,Bãi Biển
892,2024-11-03 17:29:40.434225+00,137286387,71-38370,Thác Nước
893,2024-11-03 17:29:40.621866+00,136930302,71-38382,Khu Bảo Tồn Thiên Nhiên
895,2024-11-03 17:29:40.99867+00,142387372,71-38398,Chùa Cổ
896,2024-11-03 17:29:41.180412+00,142942413,71-38379,Công Viên Thành Phố
904,2024-11-03 17:29:56.212964+00,135695732,71-38378,Công Viên Giải Trí
905,2024-11-03 17:29:56.421063+00,142686662,71-38552,Chợ
906,2024-11-03 17:29:56.627309+00,50626291,71-38638,Thể Thao Dưới Nước
907,2024-11-03 17:29:56.844693+00,142848097,71-38560,Rạp Chiếu Phim
909,2024-11-03 17:29:57.238571+00,136813063,71-38625,Nông Trại
910,2024-11-03 17:29:57.434402+00,136769135,71-38632,Làng
911,2024-11-03 17:29:57.642749+00,137323519,71-38712,Kỳ Quan Đá
912,2024-11-03 17:29:57.83588+00,77689734,71-38712,Phòng Trưng Bày Mỹ Thuật
913,2024-11-03 17:29:57.83588+00,77689734,71-38713,Bảo Tàng
914,2024-11-03 17:29:58.032806+00,56022303,71-38537,Hoạt Động Với Nước
915,2024-11-03 17:29:58.230591+00,58302694,71-38360,Sân Golf
916,2024-11-03 17:29:58.429374+00,24609102,71-38711,Nhà hát
917,2024-11-03 17:29:58.62217+00,22950915,71-38626,Đền Chùa
918,2024-11-03 17:29:58.81317+00,141291559,71-38391,Nhà Thờ & Thánh Đường
919,2024-11-03 17:29:58.9954+00,22950921,71-38582,Bể Bơi
920,2024-11-03 17:29:58.9954+00,22950921,71-38587,Sân Vận Động
921,2024-11-03 17:30:02.090081+00,32765241,71-38712,Vòng Đu Quay Khổng Lồ
922,2024-11-03 17:30:02.360231+00,23029324,71-38712,Địa Điểm Quân Sự
923,2024-11-03 17:30:02.360231+00,23029324,71-38713,Bảo Tàng
924,2024-11-03 17:30:02.55703+00,136699028,71-38369,Hồ
926,2024-11-03 17:30:02.940066+00,142498826,71-38560,Rạp Chiếu Phim
927,2024-11-03 17:30:03.133934+00,142893467,71-38626,Đền Chùa
928,2024-11-03 17:30:03.318445+00,78928,71-38706,Khu Dân Cư Nổi Bật
931,2024-11-03 17:30:03.702471+00,142290987,71-38379,Công Viên Thành Phố
932,2024-11-03 17:30:03.888182+00,137324937,71-38712,Cánh Đồng Hoa
934,2024-11-03 17:30:04.286936+00,142447433,71-38626,Đền Chùa
935,2024-11-03 17:30:06.072707+00,136899461,71-38384,Sở Thú
936,2024-11-03 17:30:06.072707+00,136899461,71-38404,Đầm Phá
937,2024-11-03 17:30:06.276945+00,142270484,71-38522,Bãi Biển
938,2024-11-03 17:30:06.493433+00,137170972,71-38523,Bờ Biển
939,2024-11-03 17:30:06.712026+00,18105348,71-38513,Địa Điểm Thờ Phụng Khác
940,2024-11-03 17:30:06.712026+00,18105348,71-38581,Đền Thờ/Miếu
941,2024-11-03 17:30:06.904174+00,142754261,71-38587,Sân Vận Động
942,2024-11-03 17:30:07.096106+00,61807921,71-38391,Nhà Thờ & Thánh Đường
945,2024-11-03 17:30:07.47527+00,141725403,71-38379,Công Viên Thành Phố
946,2024-11-03 17:30:07.682614+00,142801567,71-38712,Địa Điểm Quân Sự
947,2024-11-03 17:30:07.682614+00,142801567,71-38575,Di Tích Lịch Sử
948,2024-11-03 17:30:07.883393+00,28325757,71-38522,Bãi Biển
949,2024-11-03 17:30:07.883393+00,28325757,71-38523,Bờ Biển
950,2024-11-03 17:30:10.055216+00,142950015,71-38379,Công Viên Thành Phố
951,2024-11-03 17:30:10.247154+00,56011300,71-38363,Spa
952,2024-11-03 17:30:10.445764+00,58307908,71-38376,Hang Động
953,2024-11-03 17:30:10.445764+00,58307908,71-38400,Khu Nghỉ Dưỡng
954,2024-11-03 17:30:10.646848+00,142366167,71-38712,Phòng Trưng Bày Mỹ Thuật
957,2024-11-03 17:30:11.243933+00,142659408,71-38560,Rạp Chiếu Phim
958,2024-11-03 17:30:11.432578+00,142547016,71-38560,Rạp Chiếu Phim
963,2024-11-03 17:30:12.019691+00,137222924,71-38575,Di Tích Lịch Sử
965,2024-11-03 17:30:12.403616+00,137360501,71-38379,Công Viên Thành Phố
966,2024-11-03 17:30:12.603523+00,142495556,71-38371,Núi
967,2024-11-03 17:30:12.603523+00,142495556,71-38375,Rừng
968,2024-11-03 17:30:12.796285+00,58362444,71-38391,Nhà Thờ & Thánh Đường
969,2024-11-03 17:30:12.796285+00,58362444,71-38513,Địa Điểm Thờ Phụng Khác
970,2024-11-03 17:30:12.998435+00,142648556,71-38626,Đền Chùa
971,2024-11-03 17:30:16.797488+00,38597293,71-38513,Địa Điểm Thờ Phụng Khác
972,2024-11-03 17:30:16.797488+00,38597293,71-38575,Di Tích Lịch Sử
975,2024-11-03 17:30:17.180356+00,18688213,71-38702,Lặn Ngoài Trời
977,2024-11-03 17:30:17.539116+00,56047272,71-38626,Đền Chùa
979,2024-11-03 17:30:17.905841+00,142829256,71-38560,Rạp Chiếu Phim
981,2024-11-03 17:30:18.274378+00,137083929,71-38522,Bãi Biển
982,2024-11-03 17:30:18.461159+00,133553414,71-38581,Đền Thờ/Miếu
983,2024-11-03 17:30:18.461159+00,133553414,71-38626,Đền Chùa
984,2024-11-03 17:30:18.461159+00,133553414,71-38629,Kiến Trúc Lịch Sử
986,2024-11-03 17:30:18.820374+00,141806815,71-38560,Rạp Chiếu Phim
987,2024-11-03 17:30:19.005842+00,38731141,71-38713,Bảo Tàng
1030,2024-11-03 17:31:45.522948+00,38622081,71-38575,Di Tích Lịch Sử
1031,2024-11-03 17:31:45.522948+00,38622081,71-38586,Tượng/Điêu Khắc
1046,2024-11-03 17:34:24.073311+00,38534842,71-38575,Di Tích Lịch Sử
1047,2024-11-03 17:34:24.276973+00,50585878,71-38713,Bảo Tàng
1048,2024-11-03 17:34:24.276973+00,50585878,71-38575,Di Tích Lịch Sử
1049,2024-11-03 17:34:24.472441+00,50595327,71-38412,Đi Bộ Đường Dài/Đạp Xe
